host;Trigger
MAFVIS004;"{"jsonrpc":"2.0","result":[{"triggerid":"76758","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"29427","description":"{HOSTNAME} is unreachable"},{"triggerid":"18754","description":"MySQL server status"},{"triggerid":"18753","description":"Web service is DOWN"},{"triggerid":"337629","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"338123","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"125586","description":"Memory > 95% in last 10min"},{"triggerid":"170572","description":"Memory > 90% in last 10min"},{"triggerid":"124203","description":"CPU > 90% in last 10min"},{"triggerid":"170256","description":"CPU > 99% in last 10min"},{"triggerid":"55395","description":"Free disk space is less than 5% on {HOSTNAME} in volume /"},{"triggerid":"55391","description":"Free disk space is less than 1% on {HOSTNAME} in volume /"},{"triggerid":"55396","description":"Free disk space is less than 5% on {HOSTNAME} in volume /boot"},{"triggerid":"55392","description":"Free disk space is less than 1% on {HOSTNAME} in volume /boot"},{"triggerid":"56256","description":"Free disk space is less than 5% on {HOSTNAME} in volume /disk01"},{"triggerid":"56255","description":"Free disk space is less than 1% on {HOSTNAME} in volume /disk01"},{"triggerid":"55398","description":"Free disk space is less than 5% on {HOSTNAME} in volume /disk02"},{"triggerid":"55394","description":"Free disk space is less than 1% on {HOSTNAME} in volume /disk02"}],"id":1}"
MAFVPR001;"{"jsonrpc":"2.0","result":[{"triggerid":"76895","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"421457","description":"Alert in Print Server"},{"triggerid":"25491","description":"{HOSTNAME} is unreachable"},{"triggerid":"391887","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336256","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424169","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424905","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425641","description":"SentinelAgent service is down"},{"triggerid":"53883","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54134","description":"CPU System > 95% in last 15min"},{"triggerid":"392612","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336957","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134904","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95279","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96633","description":"Less than 5% disk space on {HOST.NAME} in volume C:"}],"id":1}"
MAFVPR002;"{"jsonrpc":"2.0","result":[{"triggerid":"76896","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25492","description":"{HOSTNAME} is unreachable"},{"triggerid":"391888","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336257","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424170","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424906","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425642","description":"SentinelAgent service is down"},{"triggerid":"53884","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54135","description":"CPU System > 95% in last 15min"},{"triggerid":"392613","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336958","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134905","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95281","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96635","description":"Less than 5% disk space on {HOST.NAME} in volume C:"}],"id":1}"
MANVPR001;"{"jsonrpc":"2.0","result":[{"triggerid":"76897","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25494","description":"{HOSTNAME} is unreachable"},{"triggerid":"391889","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336258","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424171","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424907","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425643","description":"SentinelAgent service is down"},{"triggerid":"53885","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54136","description":"CPU System > 95% in last 15min"},{"triggerid":"392614","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336959","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134906","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95282","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96636","description":"Less than 5% disk space on {HOST.NAME} in volume C:"}],"id":1}"
MPTSFX001;"{"jsonrpc":"2.0","result":[{"triggerid":"76951","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25551","description":"{HOSTNAME} is unreachable"},{"triggerid":"391914","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336283","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424196","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424932","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425668","description":"SentinelAgent service is down"},{"triggerid":"53941","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54192","description":"CPU System > 95% in last 15min"},{"triggerid":"392639","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336984","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134938","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95382","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96736","description":"Less than 5% disk space on {HOST.NAME} in volume C:"}],"id":1}"
OIBSAP0001;"{"jsonrpc":"2.0","result":[{"triggerid":"76898","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25496","description":"{HOSTNAME} is unreachable"},{"triggerid":"391890","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336259","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424172","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424908","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"23888","description":"Service: Integration Services is not running"},{"triggerid":"23892","description":"Service: SQL Server FullText Search is not running"},{"triggerid":"23889","description":"Service: Analysis Services is not running"},{"triggerid":"23890","description":"Service: SQL Server is not running"},{"triggerid":"28704","description":"SQL: Monitoring is down"},{"triggerid":"23891","description":"Service: Reporting Services is not running"},{"triggerid":"425644","description":"SentinelAgent service is down"},{"triggerid":"28647","description":"Service: SQL Browser is not running"},{"triggerid":"23893","description":"Service: SQL Agent is not running"},{"triggerid":"53887","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54138","description":"CPU System > 95% in last 15min"},{"triggerid":"392615","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336960","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134907","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95284","description":"Low space left on {HOSTNAME}\\C: (<1GB & <5%)"},{"triggerid":"96638","description":"Less than 5% disk space on {HOSTNAME} in volume C:"},{"triggerid":"95285","description":"Low space left on {HOSTNAME}\\D: (<1GB & <5%)"},{"triggerid":"96639","description":"Less than 5% disk space on {HOSTNAME} in volume D:"},{"triggerid":"95286","description":"Low space left on {HOSTNAME}\\E: (<1GB & <5%)"},{"triggerid":"96640","description":"Less than 5% disk space on {HOSTNAME} in volume E:"}],"id":1}"
OIBSAP0002;"{"jsonrpc":"2.0","result":[{"triggerid":"76899","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25497","description":"{HOSTNAME} is unreachable"},{"triggerid":"391891","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336260","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424173","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424909","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"23919","description":"Service: Integration Services is not running"},{"triggerid":"23923","description":"Service: SQL Server FullText Search is not running"},{"triggerid":"23920","description":"Service: Analysis Services is not running"},{"triggerid":"23921","description":"Service: SQL Server is not running"},{"triggerid":"28705","description":"SQL: Monitoring is down"},{"triggerid":"23922","description":"Service: Reporting Services is not running"},{"triggerid":"425645","description":"SentinelAgent service is down"},{"triggerid":"28648","description":"Service: SQL Browser is not running"},{"triggerid":"23924","description":"Service: SQL Agent is not running"},{"triggerid":"53888","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54139","description":"CPU System > 95% in last 15min"},{"triggerid":"392616","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336961","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134908","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95287","description":"Low space left on {HOSTNAME}\\C: (<1GB & <5%)"},{"triggerid":"96641","description":"Less than 5% disk space on {HOSTNAME} in volume C:"},{"triggerid":"95288","description":"Low space left on {HOSTNAME}\\D: (<1GB & <5%)"},{"triggerid":"96642","description":"Less than 5% disk space on {HOSTNAME} in volume D:"},{"triggerid":"95289","description":"Low space left on {HOSTNAME}\\E: (<1GB & <5%)"},{"triggerid":"96643","description":"Less than 5% disk space on {HOSTNAME} in volume E:"}],"id":1}"
OIBVFS0001;"{"jsonrpc":"2.0","result":[{"triggerid":"76901","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25499","description":"{HOSTNAME} is unreachable"},{"triggerid":"391892","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336261","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424174","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424910","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"393854","description":"Service Base Filtering Engine is not running"},{"triggerid":"393855","description":"Service Background Tasks Infrastructure Service is not running"},{"triggerid":"393856","description":"Service Connected Devices Platform Service is not running"},{"triggerid":"393857","description":"Service CoreMessaging is not running"},{"triggerid":"393858","description":"Service Cryptographic Services is not running"},{"triggerid":"393859","description":"Service Traps is not running"},{"triggerid":"393860","description":"Service DCOM Server Process Launcher is not running"},{"triggerid":"393861","description":"Service Data Deduplication Volume Shadow Copy Service is not running"},{"triggerid":"393862","description":"Service DHCP Client is not running"},{"triggerid":"393863","description":"Service Connected User Experiences and Telemetry is not running"},{"triggerid":"393864","description":"Service DNS Client is not running"},{"triggerid":"393865","description":"Service Diagnostic Policy Service is not running"},{"triggerid":"393866","description":"Service Windows Event Log is not running"},{"triggerid":"393867","description":"Service COM+ Event System is not running"},{"triggerid":"393868","description":"Service Windows Font Cache Service is not running"},{"triggerid":"393869","description":"Service Group Policy Client is not running"},{"triggerid":"393870","description":"Service IKE and AuthIP IPsec Keying Modules is not running"},{"triggerid":"393871","description":"Service IP Helper is not running"},{"triggerid":"393872","description":"Service Server is not running"},{"triggerid":"393873","description":"Service Workstation is not running"},{"triggerid":"429269","description":"Service SentinelOne Agent Log Processing Service is not running"},{"triggerid":"393874","description":"Service Local Session Manager is not running"},{"triggerid":"393876","description":"Service Windows Firewall is not running"},{"triggerid":"393877","description":"Service Distributed Transaction Coordinator is not running"},{"triggerid":"393878","description":"Service Netlogon is not running"},{"triggerid":"393879","description":"Service Network Location Awareness is not running"},{"triggerid":"448348","description":"Service NSClient++ Monitoring Agent is not running"},{"triggerid":"393880","description":"Service Network Store Interface Service is not running"},{"triggerid":"393881","description":"Service Program Compatibility Assistant Service is not running"},{"triggerid":"393882","description":"Service Power is not running"},{"triggerid":"393883","description":"Service User Profile Service is not running"},{"triggerid":"393885","description":"Service RPC Endpoint Mapper is not running"},{"triggerid":"393886","description":"Service Remote Procedure Call (RPC) is not running"},{"triggerid":"393910","description":"Service Rubrik Backup Service is not running"},{"triggerid":"393887","description":"Service Security Accounts Manager is not running"},{"triggerid":"393888","description":"Service Task Scheduler is not running"},{"triggerid":"393889","description":"Service System Event Notification Service is not running"},{"triggerid":"425646","description":"SentinelAgent service is down"},{"triggerid":"429270","description":"Service SentinelOne Static Service is not running"},{"triggerid":"393890","description":"Service Shell Hardware Detection is not running"},{"triggerid":"449101","description":"Service SNMP Service is not running"},{"triggerid":"393891","description":"Service Print Spooler is not running"},{"triggerid":"393893","description":"Service System Events Broker is not running"},{"triggerid":"393894","description":"Service Themes is not running"},{"triggerid":"393895","description":"Service Tile Data model server is not running"},{"triggerid":"393896","description":"Service Traps Local Analysis Service is not running"},{"triggerid":"393897","description":"Service Distributed Link Tracking Client is not running"},{"triggerid":"393899","description":"Service User Access Logging Service is not running"},{"triggerid":"393900","description":"Service User Manager is not running"},{"triggerid":"393901","description":"Service VMware Alias Manager and Ticket Service is not running"},{"triggerid":"433679","description":"Service VMware SVGA Helper Service is not running"},{"triggerid":"393902","description":"Service VMware Tools is not running"},{"triggerid":"393903","description":"Service Windows Time is not running"},{"triggerid":"393905","description":"Service Windows Connection Manager is not running"},{"triggerid":"393906","description":"Service Windows Management Instrumentation is not running"},{"triggerid":"393907","description":"Service Windows Remote Management (WS-Management) is not running"},{"triggerid":"393908","description":"Service Windows Push Notifications System Service is not running"},{"triggerid":"393909","description":"Service Zabbix Agent is not running"},{"triggerid":"53890","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54141","description":"CPU System > 95% in last 15min"},{"triggerid":"392617","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336962","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134910","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95293","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96653","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95294","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96654","description":"Less than 5% disk space on {HOST.NAME} in volume E:"}],"id":1}"
OIDVAP0001;"{"jsonrpc":"2.0","result":[{"triggerid":"76902","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25500","description":"{HOSTNAME} is unreachable"},{"triggerid":"391893","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336262","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424175","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424911","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425647","description":"SentinelAgent service is down"},{"triggerid":"53891","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54142","description":"CPU System > 95% in last 15min"},{"triggerid":"392618","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336963","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134911","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95296","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96647","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95297","description":"Low disk space left on {HOST.NAME}\\D: (<1GB & <5%)"},{"triggerid":"96648","description":"Less than 5% disk space on {HOST.NAME} in volume D:"},{"triggerid":"95298","description":"Low disk space left on {HOST.NAME}\\F: (<1GB & <5%)"},{"triggerid":"96649","description":"Less than 5% disk space on {HOST.NAME} in volume F:"},{"triggerid":"95299","description":"Low disk space left on {HOST.NAME}\\G: (<1GB & <5%)"},{"triggerid":"96650","description":"Less than 5% disk space on {HOST.NAME} in volume G:"},{"triggerid":"95300","description":"Low disk space left on {HOST.NAME}\\L: (<1GB & <5%)"},{"triggerid":"96651","description":"Less than 5% disk space on {HOST.NAME} in volume L:"},{"triggerid":"95301","description":"Low disk space left on {HOST.NAME}\\Q: (<1GB & <5%)"},{"triggerid":"96652","description":"Less than 5% disk space on {HOST.NAME} in volume Q:"}],"id":1}"
OIDVAP0010;"{"jsonrpc":"2.0","result":[{"triggerid":"76903","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25501","description":"{HOSTNAME} is unreachable"},{"triggerid":"392440","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336784","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424730","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"425466","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"19219","description":"Service: DNS Client is not running"},{"triggerid":"27665","description":"Service: Event log is not running"},{"triggerid":"26791","description":"Service: Server is not running"},{"triggerid":"26261","description":"Service: Remote Procedure Call is not running"},{"triggerid":"26438","description":"Service: Task Scheduler is not running"},{"triggerid":"426202","description":"SentinelAgent service is down"},{"triggerid":"25876","description":"Service: Print Spooler is not running"},{"triggerid":"53892","description":"CPU System > 70% since 10min on {HOSTNAME}"},{"triggerid":"54143","description":"CPU System > 90% in last 15min"},{"triggerid":"27256","description":"{HOSTNAME} has just been restarted"},{"triggerid":"393165","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"337485","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"95302","description":"Less than 1 Go disk space on {HOSTNAME} in volume C:"},{"triggerid":"96656","description":"Less than 5% disk space on {HOSTNAME} in volume C:"},{"triggerid":"95303","description":"Less than 1 Go disk space on {HOSTNAME} in volume D:"},{"triggerid":"96657","description":"Less than 5% disk space on {HOSTNAME} in volume D:"},{"triggerid":"95304","description":"Less than 1 Go disk space on {HOSTNAME} in volume F:"},{"triggerid":"96658","description":"Less than 5% disk space on {HOSTNAME} in volume F:"},{"triggerid":"95305","description":"Less than 1 Go disk space on {HOSTNAME} in volume G:"},{"triggerid":"96659","description":"Less than 5% disk space on {HOSTNAME} in volume G:"},{"triggerid":"95306","description":"Less than 1 Go disk space on {HOSTNAME} in volume Q:"},{"triggerid":"96660","description":"Less than 5% disk space on {HOSTNAME} in volume Q:"}],"id":1}"
OINSAP0032;"{"jsonrpc":"2.0","result":[{"triggerid":"76905","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25503","description":"{HOSTNAME} is unreachable"},{"triggerid":"391894","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336263","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424176","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424912","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"125857","description":"Service: AVM - GCS CLUSTER is not running"},{"triggerid":"125861","description":"Service MNL-FAX is down"},{"triggerid":"125858","description":"Service: AVM - GCS CONVERTOR is not running"},{"triggerid":"125859","description":"Service: AVM - GCS SMTP is not running"},{"triggerid":"125860","description":"Service: AVM - GCS SPOOLNT is not running"},{"triggerid":"125855","description":"Service: AVM - GLOBALCOMSERVER is not running"},{"triggerid":"125854","description":"Service: AVM - GlobalStorageServer is not running"},{"triggerid":"125856","description":"Service: AVM - GuardFiles is not running"},{"triggerid":"425648","description":"SentinelAgent service is down"},{"triggerid":"53894","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54145","description":"CPU System > 95% in last 15min"},{"triggerid":"392619","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336964","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134913","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95311","description":"Low space left on {HOSTNAME}\\C: (<1GB & <5%)"},{"triggerid":"96663","description":"Less than 5% disk space on {HOSTNAME} in volume C:"},{"triggerid":"95312","description":"Low space left on {HOSTNAME}\\D: (<1GB & <5%)"},{"triggerid":"96664","description":"Less than 5% disk space on {HOSTNAME} in volume D:"}],"id":1}"
OINVAP0004;"{"jsonrpc":"2.0","result":[{"triggerid":"76912","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25510","description":"{HOSTNAME} is unreachable"},{"triggerid":"391895","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336264","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424177","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424913","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425649","description":"SentinelAgent service is down"},{"triggerid":"53901","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54152","description":"CPU System > 95% in last 15min"},{"triggerid":"19602","description":"Link with PLC is down"},{"triggerid":"19601","description":"Process: Threads is more than 1 running"},{"triggerid":"27806","description":"Process: Threads is not running"},{"triggerid":"392620","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336965","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134914","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95319","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96673","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"448993","description":"Low disk space left on {HOST.NAME}\\M: (<1GB & <5%)"},{"triggerid":"448994","description":"Less than 5% disk space on {HOST.NAME} in volume M:"}],"id":1}"
OINVAV0003;"{"jsonrpc":"2.0","result":[{"triggerid":"76916","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25514","description":"{HOSTNAME} is unreachable"},{"triggerid":"391896","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336265","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424178","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424914","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425650","description":"SentinelAgent service is down"},{"triggerid":"53905","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54156","description":"CPU System > 95% in last 15min"},{"triggerid":"392621","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336966","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134915","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95320","description":"Low disk space left on {HOSTNAME}\\C: (<1GB & <5%)"},{"triggerid":"96674","description":"Less than 5% disk space on {HOSTNAME} in volume C:"},{"triggerid":"95321","description":"Low disk space left on {HOSTNAME}\\D: (<1GB & <5%)"},{"triggerid":"96675","description":"Less than 5% disk space on {HOSTNAME} in volume D:"}],"id":1}"
OINVCP0002;"{"jsonrpc":"2.0","result":[{"triggerid":"76918","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25516","description":"{HOSTNAME} is unreachable"},{"triggerid":"391897","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336266","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424179","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424915","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"425651","description":"SentinelAgent service is down"},{"triggerid":"53907","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54158","description":"CPU System > 95% in last 15min"},{"triggerid":"392622","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336967","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134916","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95323","description":"Less than 1 Go disk space on {HOSTNAME} in volume C:"},{"triggerid":"96677","description":"Less than 5% disk space on {HOSTNAME} in volume C:"}],"id":1}"
OINVDB0002;"{"jsonrpc":"2.0","result":[{"triggerid":"76919","description":"Zabbix agent is unreachable since 5 minutes"},{"triggerid":"25517","description":"{HOSTNAME} is unreachable"},{"triggerid":"391898","description":"TRAPS Cortex CPU usage > 50% in last 15min"},{"triggerid":"336267","description":"TRAPS CPU usage > 50% in last 15min"},{"triggerid":"424180","description":"SentinelAgent CPU usage > 50% in last 15min"},{"triggerid":"424916","description":"SentinelAgent Memory usage > 50% in last 15min"},{"triggerid":"19958","description":"Service: Integration Services is not running"},{"triggerid":"19962","description":"Service: SQL Server FullText Search is not running"},{"triggerid":"19959","description":"Service: Analysis Services is not running"},{"triggerid":"19960","description":"Service: SQL Server is not running"},{"triggerid":"19961","description":"Service: Reporting Services is not running"},{"triggerid":"425652","description":"SentinelAgent service is down"},{"triggerid":"28642","description":"Service: SQL Browser is not running"},{"triggerid":"19963","description":"Service: SQL Agent is not running"},{"triggerid":"53908","description":"CPU System > 80% since 10min on {HOSTNAME}"},{"triggerid":"54159","description":"CPU System > 95% in last 15min"},{"triggerid":"392623","description":"TRAPS Cortex Memory usage > 50% in last 15min"},{"triggerid":"336968","description":"TRAPS Memory usage > 50% in last 15min"},{"triggerid":"134917","description":"Memory > 99% in last 30min on {HOSTNAME}"},{"triggerid":"95324","description":"Low disk space left on {HOST.NAME}\\C: (<1GB & <5%)"},{"triggerid":"96678","description":"Less than 5% disk space on {HOST.NAME} in volume C:"},{"triggerid":"95325","description":"Low disk space left on {HOST.NAME}\\E: (<1GB & <5%)"},{"triggerid":"96679","description":"Less than 5% disk space on {HOST.NAME} in volume E:"},{"triggerid":"107730","description":"Less than 5% disk space on {HOST.NAME} in volume F:"},{"triggerid":"107731","description":"Low disk space left on {HOST.NAME}\\F: (<1GB & <5%)"},{"triggerid":"122727","description":"Less than 5% disk space on {HOST.NAME} in volume G:"},{"triggerid":"122728","description":"Low disk space left on {HOST.NAME}\\G: (<1GB & <5%)"},{"triggerid":"137704","description":"Less than 5% disk space on {HOST.NAME} in volume H:"},{"triggerid":"137705","description":"Low disk space left on {HOST.NAME}\\H: (<1GB & <5%)"},{"triggerid":"100511","description":"Less than 5% disk space on {HOST.NAME} in volume P:"},{"triggerid":"100512","description":"Low disk space left on {HOST.NAME}\\P: (<1GB & <5%)"},{"triggerid":"94246","description":"Number of Record in table TXML is too High"}],"id":1}"
